Frame,Time(MS),Ego_Type,Ego_SizeX(M),Ego_SizeY(M),Ego_SizeZ(M),Ego_PosX(M),Ego_PosY(M),Ego_RotZ(R),Ego_Speed(M/S),Ego_LinearVelocityX(M/S),Ego_LinearVelocityY(M/S),Ego_LinearAccelerationX(M/S2),Ego_LinearAccelerationY(M/S2),Actor_11_Type,Actor_11_SizeX(M),Actor_11_SizeY(M),Actor_11_SizeZ(M),Actor_11_PosX(M),Actor_11_PosY(M),Actor_11_RotZ(R),Actor_12_Type,Actor_12_SizeX(M),Actor_12_SizeY(M),Actor_12_SizeZ(M),Actor_12_PosX(M),Actor_12_PosY(M),Actor_12_RotZ(R),Actor_13_Type,Actor_13_SizeX(M),Actor_13_SizeY(M),Actor_13_SizeZ(M),Actor_13_PosX(M),Actor_13_PosY(M),Actor_13_RotZ(R),Actor_14_Type,Actor_14_SizeX(M),Actor_14_SizeY(M),Actor_14_SizeZ(M),Actor_14_PosX(M),Actor_14_PosY(M),Actor_14_RotZ(R)
1,16.666666,Truck,5.53,2.69,3.17,-161.897949,5.702563,6.274008,0.000012,0,0,-0.000024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,33.333332,Truck,5.53,2.69,3.17,-161.897949,5.702563,6.274008,0.000012,0,0,-0.000024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,50,Truck,5.53,2.69,3.17,-161.897949,5.702563,-0.009177,0.000003,0,0,0.000032,0,Sedan,4.365002,2.123602,1.659208,-134.498489,-1.07689,0.028638,Sedan,4.20256,2.002182,1.370535,-155.273773,-1.614925,0.014932,,,,,,,,,,,,,,
4,66.666664,Truck,5.53,2.69,3.17,-161.897949,5.702563,-0.009177,0.000009,0,0,-0.000023,0,Sedan,4.365002,2.123602,1.659208,-134.306335,-1.071236,0.02985,Sedan,4.20256,2.002182,1.370535,-155.068817,-1.611834,0.015229,,,,,,,,,,,,,,
5,83.333336,Truck,5.53,2.69,3.17,-161.897949,5.702563,-0.009179,0,0,0,0,0,Sedan,4.365002,2.123602,1.659208,-134.113998,-1.065453,0.030264,Sedan,4.20256,2.002182,1.370535,-154.863861,-1.608681,0.015537,,,,,,,,,,,,,,
6,100,Truck,5.53,2.69,3.17,-161.702454,5.700889,-0.008566,11.500197,11.499776,-0.098505,676.457397,-5.794389,Sedan,4.365002,2.123602,1.659208,-133.921494,-1.059588,0.030641,Sedan,4.20256,2.002182,1.370535,-154.658875,-1.605464,0.015855,,,,,,,,,,,,,,
7,116.666664,Truck,5.53,2.69,3.17,-161.507401,5.69933,-0.007989,12.191597,12.191208,-0.097392,43.214497,0.06954,Sedan,4.365002,2.123602,1.659208,-133.728821,-1.053649,0.030979,Sedan,4.20256,2.002182,1.370535,-154.453888,-1.60218,0.016183,,,,,,,,,,,,,,
8,133.333328,Truck,5.53,2.69,3.17,-161.287659,5.69771,-0.007375,12.926165,12.925813,-0.095336,43.212048,0.12096,Sedan,4.365002,2.123602,1.659208,-133.53595,-1.047643,0.03128,Sedan,4.20256,2.002182,1.370535,-154.248871,-1.598827,0.016522,,,,,,,,,,,,,,
9,150,Truck,5.53,2.69,3.17,-161.055435,5.696139,-0.006762,13.660731,13.660419,-0.092379,43.212158,0.173942,Sedan,4.365002,2.123602,1.659208,-133.342926,-1.041577,0.031542,Sedan,4.20256,2.002182,1.370535,-154.043869,-1.595404,0.016866,,,,,,,,,,,,,,
10,166.666672,Truck,5.53,2.69,3.17,-160.825806,5.694719,-0.006185,14.352131,14.351857,-0.088773,43.214855,0.225381,Sedan,4.365002,2.123602,1.659208,-133.149704,-1.035458,0.031765,Sedan,4.20256,2.002182,1.370535,-153.838882,-1.591911,0.017211,,,,,,,,,,,,,,
