rec_time,UTC,Pupil X,Pupil Y,Left Eye_Pupil X,Left Eye_Pupil Y,Left Eye_Pupil Area,Left Eye_Pupil Height,Left Eye_Pupil Width,Left Eye_Fixations_Fixations,Left Eye_Fixations_Fixations Duration,Left Eye_Saccades_Saccades,Left Eye_Saccades_Saccades Duration,Left Eye_Saccades_Saccades Angle,Right Eye_Pupil X,Right Eye_Pupil Y,Right Eye_Pupil Area,Right Eye_Pupil Height,Right Eye_Pupil Width,Right Eye_Fixations_Fixations,Right Eye_Fixations_Fixations Duration,Right Eye_Saccades_Saccades,Right Eye_Saccades_Saccades Duration,Right Eye_Saccades_Saccades Angle
00:02:26.914,1705406543471,0.0,0.0,190.581,124.11,866.753,40.363,27.356,1,0,0,0,0.0,174.634,110.815,897.535,37.375,30.591,1.0,0.0,1.0,0.0,0.0
00:02:26.931,1705406543488,0.0,0.0,191.173,124.46,869.649,41.505,26.692,1,0,0,0,0.0,174.634,110.815,897.535,37.375,30.591,1.0,0.0,1.0,0.0,0.0
00:02:26.948,1705406543505,0.0,0.0,190.248,124.172,837.604,40.189,26.55,1,0,0,0,0.0,175.499,110.251,885.214,36.669,30.752,1.0,0.0,1.0,0.0,0.0
00:02:26.964,1705406543521,0.0,0.0,189.968,124.566,820.299,39.954,26.154,1,0,0,0,0.0,174.974,110.308,883.968,36.422,30.918,1.0,0.0,1.0,0.0,0.0
00:02:26.981,1705406543538,0.0,0.0,189.551,124.276,843.456,40.643,26.437,1,0,0,0,0.0,174.974,110.308,883.968,36.422,30.918,1.0,0.0,1.0,0.0,0.0
00:02:26.998,1705406543555,0.0,0.0,189.523,124.536,840.699,39.716,26.966,1,0,0,0,0.0,174.543,110.523,866.65,36.672,30.105,1.0,0.0,1.0,0.0,0.0
00:02:27.014,1705406543571,0.0,0.0,187.282,124.527,838.127,39.425,27.081,1,0,0,0,0.0,174.033,110.369,874.235,35.85,31.064,1.0,0.0,1.0,0.0,0.0
00:02:27.031,1705406543588,0.0,0.0,186.216,124.563,872.345,39.558,28.092,1,0,0,0,0.0,174.033,110.369,874.235,35.85,31.064,1.0,0.0,1.0,0.0,0.0
00:02:27.048,1705406543605,0.0,0.0,185.825,123.71,869.551,40.039,27.666,1,0,0,0,0.0,169.892,109.604,857.37,35.264,30.972,1.0,0.0,1.0,0.0,0.0
00:02:27.064,1705406543621,0.0,0.0,185.929,124.586,841.161,39.155,27.367,1,0,0,0,0.0,170.415,109.27,818.276,35.461,29.395,1.0,0.0,1.0,0.0,0.0
00:02:27.081,1705406543638,0.0,0.0,185.858,123.95,851.416,39.715,27.309,1,0,0,0,0.0,170.415,109.27,818.276,35.461,29.395,1.0,0.0,1.0,0.0,0.0
00:02:27.098,1705406543655,0.0,0.0,185.832,124.496,876.985,38.413,29.083,1,0,0,0,0.0,170.383,109.791,832.052,35.552,29.814,1.0,0.0,1.0,0.0,0.0
00:02:27.114,1705406543671,0.0,0.0,186.097,124.118,823.917,38.893,26.986,1,0,0,0,0.0,170.389,109.988,815.262,35.095,29.592,1.0,0.0,1.0,0.0,0.0
00:02:27.131,1705406543688,0.0,0.0,186.152,123.911,876.318,38.529,28.973,1,0,0,0,0.0,170.389,109.988,815.262,35.095,29.592,1.0,0.0,1.0,0.0,0.0
00:02:27.148,1705406543705,0.0,0.0,186.449,123.619,823.96,38.692,27.128,1,0,0,0,0.0,170.553,109.385,817.534,35.089,29.68,1.0,0.0,1.0,0.0,0.0
