Frame,Time(MS),Ego_Type,Ego_SizeX(M),Ego_SizeY(M),Ego_SizeZ(M),Ego_PosX(M),Ego_PosY(M),Ego_RotZ(R),Ego_Speed(M/S),Ego_LinearVelocityX(M/S),Ego_LinearVelocityY(M/S),Ego_LinearAccelerationX(M/S2),Ego_LinearAccelerationY(M/S2),Actor_11_Type,Actor_11_SizeX(M),Actor_11_SizeY(M),Actor_11_SizeZ(M),Actor_11_PosX(M),Actor_11_PosY(M),Actor_11_RotZ(R),Actor_12_Type,Actor_12_SizeX(M),Actor_12_SizeY(M),Actor_12_SizeZ(M),Actor_12_PosX(M),Actor_12_PosY(M),Actor_12_RotZ(R),Actor_13_Type,Actor_13_SizeX(M),Actor_13_SizeY(M),Actor_13_SizeZ(M),Actor_13_PosX(M),Actor_13_PosY(M),Actor_13_RotZ(R),Actor_14_Type,Actor_14_SizeX(M),Actor_14_SizeY(M),Actor_14_SizeZ(M),Actor_14_PosX(M),Actor_14_PosY(M),Actor_14_RotZ(R)
1,16.666666,Sedan,4.93,1.86,1.48,-132.019775,-0.819643,0.010199,2e-06,0.0,0.0,3e-06,0.0,,,,,,,,Car,5.57548,2.385468,1.880301,-157.129272,-1.538087,0.027101,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2,33.333332,Sedan,4.93,1.86,1.48,-132.019775,-0.819643,0.010199,2e-06,0.0,0.0,3e-06,0.0,,,,,,,,Car,5.57548,2.385468,1.880301,-157.129272,-1.538087,0.027101,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
3,50.0,Sedan,4.93,1.86,1.48,-132.019775,-0.819643,0.0102,3e-06,0.0,0.0,3e-06,0.0,,,,,,,,Car,5.57548,2.385468,1.880301,-157.129272,-1.538087,0.027101,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
4,66.666664,Sedan,4.93,1.86,1.48,-132.019775,-0.819643,0.0102,4e-06,0.0,0.0,1e-06,0.0,,,,,,,,Car,5.57548,2.385468,1.880301,-157.008865,-1.534824,0.027102,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
5,83.333336,Sedan,4.93,1.86,1.48,-132.019775,-0.819643,0.0102,4e-06,0.0,0.0,-0.0,0.0,,,,,,,,Car,5.57548,2.385468,1.880301,-156.882614,-1.531402,0.027094,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
6,100.0,Sedan,4.93,1.86,1.48,-132.019775,-0.819643,0.010196,0.0,0.0,0.0,0.0,0.0,,,,,,,,Car,5.57548,2.385468,1.880301,-156.750519,-1.527822,0.027076,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
7,116.666664,Sedan,4.93,1.86,1.48,-131.887253,-0.818123,0.011468,7.796279,7.795766,0.089408,458.574463,5.259284,Truck,13.465333,3.068987,4.177894,-160.842987,6.003893,0.004293,Car,5.57548,2.385468,1.880301,-156.612549,-1.524088,0.027046,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
8,133.333328,Sedan,4.93,1.86,1.48,-131.755157,-0.81645,0.012666,8.257053,8.256392,0.104577,28.789072,0.948089,Truck,13.465333,3.068987,4.177894,-160.714722,6.004443,0.004279,Car,5.57548,2.385468,1.880301,-156.468735,-1.5202,0.027003,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
9,150.0,Sedan,4.93,1.86,1.48,-131.606476,-0.814378,0.013938,8.746596,8.745747,0.121902,28.785591,1.019124,Truck,13.465333,3.068987,4.177894,-160.580322,6.005018,0.004297,Car,5.57548,2.385468,1.880301,-156.319077,-1.516162,0.026945,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
10,166.666672,Sedan,4.93,1.86,1.48,-131.449478,-0.81199,0.01521,9.23614,9.235072,0.140473,28.783854,1.092366,Truck,13.465333,3.068987,4.177894,-160.439774,6.005626,0.004353,Car,5.57548,2.385468,1.880301,-156.163544,-1.511976,0.02687,Car,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
